model,country,carbon_gco2
claude-3-haiku,norway,0.0
claude-3-haiku,france,0.0
claude-3-haiku,uk,0.0001
claude-3-haiku,usa,0.0002
claude-3-haiku,germany,0.0002
claude-3-haiku,china,0.0003
claude-3-haiku,india,0.0004
claude-3-sonnet,norway,0.0
claude-3-sonnet,france,0.0001
claude-3-sonnet,uk,0.0003
claude-3-sonnet,usa,0.0006
claude-3-sonnet,germany,0.0005
claude-3-sonnet,china,0.0008
claude-3-sonnet,india,0.0011
claude-3-opus,norway,0.0001
claude-3-opus,france,0.0002
claude-3-opus,uk,0.0005
claude-3-opus,usa,0.001
claude-3-opus,germany,0.0009
claude-3-opus,china,0.0015
claude-3-opus,india,0.0019
